80016858,800168BB,FUN_80016858,
800168BC,800168EB,FUN_800168bc,
800168EC,8001691B,FUN_800168ec,
8001691C,800169F7,FUN_8001691c,
800169F8,80016ACF,FUN_800169f8,
80016AD0,80016BF7,padCorrectAnalog,dolphin/Pad.c
80016BF8,80016C3F,padCorrectTrigger,dolphin/Pad.c
80016C40,80016CE3,padUpdateAnalog,dolphin/Pad.c
80016CE4,80016D2F,FUN_80016ce4,dolphin/Pad.c
80016D30,80016D9B,FUN_80016d30,dolphin/Pad.c
80016D9C,80016E8B,FUN_80016d9c,dolphin/Pad.c
80016E8C,80016F23,siFn_80016e8c,dolphin/Pad.c
80016F24,80016FE3,padFn_80016f24,dolphin/Pad.c
80016FE4,800170C3,padResetFn_80016fe4,dolphin/Pad.c
800170C4,80017147,FUN_800170c4,dolphin/Pad.c
80017148,8001729B,UpdateOrigin,dolphin/Pad.c
8001729C,80017337,padResetFn_8001729c,dolphin/Pad.c
80017338,800173B3,padFn_80017338,dolphin/Pad.c
800173B4,8001751B,padResetFn_800173b4,dolphin/Pad.c
8001751C,800178D3,padResetFn_8001751c,dolphin/Pad.c
800178D4,800179A3,PADReset,dolphin/Pad.c
800179A4,80017A5B,PADReset2,dolphin/Pad.c
80017A5C,80017B7B,piInit,dolphin/Pad.c
80017B7C,80017C5B,fn_80017B7C,dolphin/Pad.c
80017C5C,80017EEF,padUpdate,dolphin/Pad.c
80017EF0,80017FB3,PADSetSamplingRate,dolphin/Pad.c
80017FB4,8001807F,PADControlMotor,dolphin/Pad.c
80018080,80018127,PADSetSpec,dolphin/Pad.c
80018128,8001812F,padGetTriggerMode,dolphin/Pad.c
80018130,800182AF,padCb_breadboard,dolphin/Pad.c
800182B0,8001842F,padCb_proto1,dolphin/Pad.c
80018430,8001848B,FUN_80018430,dolphin/Pad.c
8001848C,800184A7,FUN_8001848c,dolphin/Pad.c
800184A8,8001878F,padCb_final,dolphin/Pad.c
80018790,800187E3,FUN_80018790,dolphin/Pad.c
800187E4,8001885B,resetFn_800187e4,dolphin/Pad.c
8001885C,800188A3,FUN_8001885c,dolphin/snd_init.c
800188A4,80018953,AIInitDMA,dolphin/ai.c
80018954,8001896B,AIStartDMA,dolphin/ai.c
8001896C,80018987,set_ai_CR_bit20,dolphin/ai.c
80018988,80018993,set_ai_IT,dolphin/ai.c
80018994,80018A8B,AISetStreamPlayState,dolphin/ai.c
80018A8C,80018A9B,AIGetStreamPlayState,dolphin/ai.c
80018A9C,80018BDF,AISetDSPSampleRate,dolphin/ai.c
80018BE0,80018BF3,FUN_80018be0,dolphin/ai.c
80018BF4,80018C3F,AISetStreamSampleRate,dolphin/ai.c
80018C40,80018D4F,__AI_set_stream_sample_rate,dolphin/ai.c
80018D50,80018D5F,AIGetStreamSamplingRate,dolphin/ai.c
80018D60,80018DC7,AISetStreamVolRight,dolphin/ai.c
80018DC8,80018DD7,AIGetStreamPlayState,dolphin/ai.c
80018DD8,80018E3B,AISetStreamVolLeft,dolphin/ai.c
80018E3C,80018E4F,FUN_80018e3c,dolphin/ai.c
80018E50,8001903B,AIInit,dolphin/ai.c
8001903C,800190B3,__AISHandler,dolphin/ai.c
800190B4,80019147,irq_DSP,dolphin/ai.c
80019148,8001919F,__AICallbackStackSwitch,dolphin/ai.c
800191A0,80019447,__AI_SRC_INIT,dolphin/ai.c
80019448,8001948F,audioSetCbFn_80019448,dolphin/ar.c
80019490,800195FF,ARStartDMA,dolphin/ar.c
80019600,8001976B,ARInit,dolphin/ar.c
8001976C,80019773,ret0x4000_8001976C,dolphin/ar.c
80019774,8001977B,getAramSize,dolphin/ar.c
8001977C,800197F7,FUN_8001977c,dolphin/ar.c
800197F8,8001980B,FUN_800197f8,dolphin/ar.c
8001980C,800198FB,ARStartDMA,dolphin/ar.c
800198FC,800199EB,ARStartDMA,dolphin/ar.c
800199EC,80019F1F,__ARChecksize,dolphin/ar.c
80019F20,80019FC3,FUN_80019f20,
80019FC4,8001A127,__ARQServiceQueueLo,dolphin/arq.c
8001A128,8001A12B,fn_8001A128,dolphin/arq.c
8001A12C,8001A1B7,audioCb_8001a12c,dolphin/arq.c
8001A1B8,8001A227,audioInitFn_8001a1b8,dolphin/arq.c
8001A228,8001A3CF,arqFn_8001a228,dolphin/arq.c
8001A3D0,8001A3DF,DSPCheckMailToDSP,dolphin/dsp.c
8001A3E0,8001A3F3,dspGetCpuMailHi,dolphin/dsp.c
8001A3F4,8001A40F,FUN_8001a3f4,dolphin/dsp.c
8001A410,8001A427,DSPSendMailToDSP,dolphin/dsp.c
8001A428,8001A4EB,DSPInit,dolphin/dsp.c
8001A4EC,8001A577,DSPAddTask,dolphin/dsp.c
8001A578,8001A5C7,dspDebugPrint,dolphin/dsp.c
8001A5C8,8001AAD3,__DSPHandler,dolphin/dsp_task.c
8001AAD4,8001AC93,__DSP_exec_task,dolphin/dsp_task.c
8001AC94,8001AE5B,__DSP_boot_task,dolphin/dsp_task.c
8001AE5C,8001AF0F,__DSP_insert_task,dolphin/dsp_task.c
8001AF10,8001AFFB,__DSP_remove_task,dolphin/dsp_task.c
8001AFFC,8001B043,EnableWriteGatherPipe,dolphin/GXInit.c
8001B044,8001B0DB,__GXDefaultTexRegionCallback,dolphin/GXInit.c
8001B0DC,8001B0FF,__GXDefaultTlutRegionCallback,dolphin/GXInit.c
8001B100,8001B143,__GXDefaultVerifyCallback,dolphin/GXInit.c
8001B144,8001C2EB,GXInit,dolphin/GXInit.c
8001C2EC,8001C333,FUN_8001c2ec,dolphin/GXInit.c
8001C334,8001C3EB,GXOverflowHandler,dolphin/GXFifo.c
8001C3EC,8001C47B,GXUnderflowHandler,dolphin/GXFifo.c
8001C47C,8001C4F7,FUN_8001c47c,dolphin/GXFifo.c
