Tag 'synth_adsr.c' range is 0x8004F394 - 0x8004FA47
Tag 'osalloc.c' range is 0x800080B8 - 0x800087C3
[!] Function 0x8004BD9F 'SelectSource' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004C4E3 'varGet32' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004C56F 'varGet' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004C5AB 'varSet32' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004C63B 'varSet' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004D6FF 'macSampleEndNotify' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004D7A7 'macSetExternalKeyoff' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004D99F 'TimeQueueAdd' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004DA57 'UnYieldMacro' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004DB57 'macMakeActive' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004DBEB 'macMakeInactive' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004DCAB 'macStart' has multiple file tags: set(['synthmacros.c', 'synth.c'])
[!] Function 0x8004E083 'get_vidlist' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004E0CF 'get_newvid' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004E0FF 'vidRemove' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004E19B 'vidRemoveVoiceReferences' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004E303 'vidMakeNew' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004E40B 'vidGetInternalId' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004E4DB 'voiceRemovePriority' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004E5DB 'voiceSetPriority' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004E7C3 'voiceAllocate' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004ECE7 'voiceFree' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004EEEF 'voiceKill' has multiple file tags: set(['synth.c', 'synthvoice.c'])
[!] Function 0x8004EF6F 'voiceKillSound' has multiple file tags: set(['synth.c', 'synthvoice.c'])
